YEAR,MONTH,DAY,HOUR,timestamp,clear_sky_irradiance,direct_radiation,temperature_2m,wind_speed_10m,relative_humidity_2m,cloud_cover,solar_power_kw
2025,1,4,21,2025-01-04 21:00:00,0.0,0.0,12.37,1.61,64.73,44.27,0.0
2025,1,4,22,2025-01-04 22:00:00,0.0,0.0,11.85,3.5,68.02,12.62,0.0
2025,1,4,23,2025-01-04 23:00:00,0.0,0.0,10.74,2.77,69.51,26.56,0.0
2025,1,5,0,2025-01-05 00:00:00,0.0,0.0,9.33,3.55,68.67,17.38,0.0
2025,1,5,1,2025-01-05 01:00:00,0.0,0.0,9.13,3.72,70.84,35.35,0.0
2025,1,5,2,2025-01-05 02:00:00,0.0,0.0,8.6,3.66,72.53,39.4,0.0
2025,1,5,3,2025-01-05 03:00:00,0.0,0.0,7.8,5.66,75.1,28.14,0.0
2025,1,5,4,2025-01-05 04:00:00,0.0,0.0,9.87,4.56,67.83,12.47,0.0
2025,1,5,5,2025-01-05 05:00:00,0.0,0.0,9.58,3.37,67.33,29.81,0.0
2025,1,5,6,2025-01-05 06:00:00,0.0,0.0,10.33,3.85,69.1,20.61,0.0
2025,1,5,7,2025-01-05 07:00:00,91.81,76.22,12.87,4.65,70.64,22.65,43.54
2025,1,5,8,2025-01-05 08:00:00,307.16,274.38,14.62,4.19,69.6,14.23,142.71
2025,1,5,9,2025-01-05 09:00:00,492.08,434.32,13.32,5.09,60.85,15.65,224.9
2025,1,5,10,2025-01-05 10:00:00,633.97,521.53,15.33,3.81,63.83,23.65,259.18
2025,1,5,11,2025-01-05 11:00:00,723.17,633.49,16.0,3.34,60.54,16.54,312.0
2025,1,5,12,2025-01-05 12:00:00,753.59,656.08,15.55,3.81,62.81,17.25,326.53
2025,1,5,13,2025-01-05 13:00:00,723.17,498.2,17.89,3.59,62.07,41.48,242.52
2025,1,5,14,2025-01-05 14:00:00,633.97,426.12,20.48,3.65,64.06,43.71,205.57
2025,1,5,15,2025-01-05 15:00:00,492.08,426.64,18.41,1.35,53.59,17.73,210.36
2025,1,5,16,2025-01-05 16:00:00,307.16,272.13,17.63,1.55,61.6,15.2,135.41
2025,1,5,17,2025-01-05 17:00:00,91.81,72.52,17.83,1.65,59.95,28.03,34.46
2025,1,5,18,2025-01-05 18:00:00,0.0,0.0,17.07,3.19,63.04,13.4,0.0
2025,1,5,19,2025-01-05 19:00:00,0.0,0.0,14.54,2.8,59.61,32.03,0.0
2025,1,5,20,2025-01-05 20:00:00,0.0,0.0,15.45,2.85,63.72,40.26,0.0
2025,1,5,21,2025-01-05 21:00:00,0.0,0.0,14.29,2.26,63.76,40.65,0.0
2025,1,5,22,2025-01-05 22:00:00,0.0,0.0,13.16,1.13,69.66,16.93,0.0
2025,1,5,23,2025-01-05 23:00:00,0.0,0.0,12.48,1.56,66.78,41.89,0.0
2025,1,6,0,2025-01-06 00:00:00,0.0,0.0,11.31,2.24,66.71,28.58,0.0
2025,1,6,1,2025-01-06 01:00:00,0.0,0.0,10.34,4.0,63.56,43.87,0.0
2025,1,6,2,2025-01-06 02:00:00,0.0,0.0,9.31,3.4,72.5,16.48,0.0
2025,1,6,3,2025-01-06 03:00:00,0.0,0.0,9.52,4.49,77.81,40.18,0.0
2025,1,6,4,2025-01-06 04:00:00,0.0,0.0,8.31,5.75,68.34,17.7,0.0
2025,1,6,5,2025-01-06 05:00:00,0.0,0.0,10.51,4.44,68.67,43.07,0.0
2025,1,6,6,2025-01-06 06:00:00,0.0,0.0,10.13,5.47,67.58,40.29,0.0
2025,1,6,7,2025-01-06 07:00:00,92.62,68.43,11.84,4.04,73.63,34.83,30.22
2025,1,6,8,2025-01-06 08:00:00,308.12,264.81,12.85,3.83,69.06,18.74,125.15
2025,1,6,9,2025-01-06 09:00:00,493.18,324.72,14.23,6.31,61.62,45.54,163.03
2025,1,6,10,2025-01-06 10:00:00,635.18,573.14,16.73,4.27,65.22,13.02,285.76
2025,1,6,11,2025-01-06 11:00:00,724.44,628.12,18.01,5.09,66.04,17.73,308.14
2025,1,6,12,2025-01-06 12:00:00,754.89,499.6,17.47,5.53,63.1,45.09,248.86
2025,1,6,13,2025-01-06 13:00:00,724.44,581.26,18.21,2.38,58.52,26.35,280.79
2025,1,6,14,2025-01-06 14:00:00,635.18,486.56,18.65,3.92,61.09,31.2,236.61
2025,1,6,15,2025-01-06 15:00:00,493.18,388.81,18.8,2.45,54.49,28.22,190.3
2025,1,6,16,2025-01-06 16:00:00,308.12,239.19,19.48,3.33,58.73,29.83,110.89
2025,1,6,17,2025-01-06 17:00:00,92.62,68.64,18.12,4.4,56.48,34.52,34.06
2025,1,6,18,2025-01-06 18:00:00,0.0,0.0,16.92,2.21,62.78,14.74,0.0
2025,1,6,19,2025-01-06 19:00:00,0.0,0.0,16.48,1.77,60.37,19.06,0.0
2025,1,6,20,2025-01-06 20:00:00,0.0,0.0,16.41,0.8,55.47,39.53,0.0
2025,1,6,21,2025-01-06 21:00:00,0.0,0.0,13.73,1.53,63.89,31.98,0.0
2025,1,6,22,2025-01-06 22:00:00,0.0,0.0,12.43,3.29,66.34,34.93,0.0
2025,1,6,23,2025-01-06 23:00:00,0.0,0.0,12.09,2.77,64.61,35.45,0.0
2025,1,7,0,2025-01-07 00:00:00,0.0,0.0,10.19,4.15,68.55,36.42,0.0
2025,1,7,1,2025-01-07 01:00:00,0.0,0.0,9.38,2.95,73.67,43.52,0.0
2025,1,7,2,2025-01-07 02:00:00,0.0,0.0,7.84,3.11,76.09,23.83,0.0
2025,1,7,3,2025-01-07 03:00:00,0.0,0.0,7.76,3.32,72.82,26.86,0.0
2025,1,7,4,2025-01-07 04:00:00,0.0,0.0,7.77,5.32,69.16,32.89,0.0
2025,1,7,5,2025-01-07 05:00:00,0.0,0.0,9.38,4.91,70.03,41.57,0.0
2025,1,7,6,2025-01-07 06:00:00,0.0,0.0,9.97,3.67,67.99,35.74,0.0
2025,1,7,7,2025-01-07 07:00:00,93.48,77.28,11.66,4.99,65.06,23.1,33.11
2025,1,7,8,2025-01-07 08:00:00,309.14,224.81,12.33,5.84,68.13,36.37,118.87
2025,1,7,9,2025-01-07 09:00:00,494.34,357.72,12.53,3.85,61.16,36.85,180.36
2025,1,7,10,2025-01-07 10:00:00,636.45,543.88,15.02,2.95,64.04,19.39,273.52
2025,1,7,11,2025-01-07 11:00:00,725.78,577.73,15.77,3.03,57.94,27.2,291.24
2025,1,7,12,2025-01-07 12:00:00,756.25,566.83,19.2,3.58,59.84,33.4,279.01
2025,1,7,13,2025-01-07 13:00:00,725.78,610.95,17.87,5.24,60.17,21.1,301.28
2025,1,7,14,2025-01-07 14:00:00,636.45,515.82,18.55,3.04,59.93,25.27,252.81
2025,1,7,15,2025-01-07 15:00:00,494.34,379.72,18.5,3.22,64.44,30.91,185.04
2025,1,7,16,2025-01-07 16:00:00,309.14,212.8,17.96,1.05,61.99,41.55,109.02
2025,1,7,17,2025-01-07 17:00:00,93.48,81.71,18.27,2.48,61.67,16.78,35.6
2025,1,7,18,2025-01-07 18:00:00,0.0,0.0,18.19,3.33,62.61,44.13,0.0
2025,1,7,19,2025-01-07 19:00:00,0.0,0.0,16.45,2.68,57.02,43.29,0.0
2025,1,7,20,2025-01-07 20:00:00,0.0,0.0,15.95,2.82,63.85,19.89,0.0
2025,1,7,21,2025-01-07 21:00:00,0.0,0.0,13.97,2.67,67.04,47.56,0.0
2025,1,7,22,2025-01-07 22:00:00,0.0,0.0,11.59,2.07,68.06,24.74,0.0
2025,1,7,23,2025-01-07 23:00:00,0.0,0.0,11.35,4.35,66.68,38.94,0.0
2025,1,8,0,2025-01-08 00:00:00,0.0,0.0,11.16,2.42,70.09,25.89,0.0
2025,1,8,1,2025-01-08 01:00:00,0.0,0.0,9.74,3.4,73.39,15.59,0.0
2025,1,8,2,2025-01-08 02:00:00,0.0,0.0,9.91,2.75,71.74,31.53,0.0
2025,1,8,3,2025-01-08 03:00:00,0.0,0.0,8.66,3.27,70.15,40.55,0.0
2025,1,8,4,2025-01-08 04:00:00,0.0,0.0,7.62,3.68,67.17,25.11,0.0
2025,1,8,5,2025-01-08 05:00:00,0.0,0.0,10.46,4.62,69.55,47.98,0.0
2025,1,8,6,2025-01-08 06:00:00,0.0,0.0,11.4,3.44,74.11,36.2,0.0
2025,1,8,7,2025-01-08 07:00:00,94.38,79.58,11.0,4.15,66.33,20.91,44.5
2025,1,8,8,2025-01-08 08:00:00,310.22,271.23,12.41,5.18,63.03,16.76,140.42
2025,1,8,9,2025-01-08 09:00:00,495.57,420.78,13.56,4.51,66.9,20.12,205.91
2025,1,8,10,2025-01-08 10:00:00,637.79,468.03,14.62,3.81,63.94,35.49,236.02
2025,1,8,11,2025-01-08 11:00:00,727.19,622.1,16.73,4.34,63.0,19.27,315.52
2025,1,8,12,2025-01-08 12:00:00,757.69,656.65,16.14,4.21,56.99,17.78,323.04
2025,1,8,13,2025-01-08 13:00:00,727.19,552.17,17.92,3.18,60.48,32.09,276.71
2025,1,8,14,2025-01-08 14:00:00,637.79,486.84,19.79,3.96,60.23,31.56,234.59
2025,1,8,15,2025-01-08 15:00:00,495.57,367.2,19.47,3.12,57.92,34.54,184.04
2025,1,8,16,2025-01-08 16:00:00,310.22,206.67,19.15,2.86,61.35,44.51,104.52
2025,1,8,17,2025-01-08 17:00:00,94.38,67.1,19.44,2.21,61.75,38.54,33.44
2025,1,8,18,2025-01-08 18:00:00,0.0,0.0,16.98,2.63,62.24,26.46,0.0
2025,1,8,19,2025-01-08 19:00:00,0.0,0.0,16.65,1.25,62.14,32.5,0.0
2025,1,8,20,2025-01-08 20:00:00,0.0,0.0,16.49,2.67,64.09,36.93,0.0
2025,1,8,21,2025-01-08 21:00:00,0.0,0.0,13.92,3.14,65.84,33.68,0.0
2025,1,8,22,2025-01-08 22:00:00,0.0,0.0,12.85,2.75,67.78,18.32,0.0
2025,1,8,23,2025-01-08 23:00:00,0.0,0.0,11.61,4.15,65.9,39.52,0.0
2025,1,9,0,2025-01-09 00:00:00,0.0,0.0,10.76,3.4,67.67,17.48,0.0
2025,1,9,1,2025-01-09 01:00:00,0.0,0.0,9.23,2.65,75.84,42.84,0.0
2025,1,9,2,2025-01-09 02:00:00,0.0,0.0,9.69,5.0,73.76,21.6,0.0
2025,1,9,3,2025-01-09 03:00:00,0.0,0.0,9.52,5.83,70.7,25.44,0.0
2025,1,9,4,2025-01-09 04:00:00,0.0,0.0,9.89,3.97,70.18,29.79,0.0
2025,1,9,5,2025-01-09 05:00:00,0.0,0.0,8.67,4.59,74.53,16.96,0.0
2025,1,9,6,2025-01-09 06:00:00,0.0,0.0,10.68,5.27,68.55,49.76,0.0
2025,1,9,7,2025-01-09 07:00:00,95.33,62.84,12.01,4.82,71.99,45.44,34.21
2025,1,9,8,2025-01-09 08:00:00,311.35,209.18,11.88,4.84,66.4,43.75,103.03
2025,1,9,9,2025-01-09 09:00:00,496.85,381.58,13.97,4.45,60.71,30.93,188.86
2025,1,9,10,2025-01-09 10:00:00,639.19,517.96,14.79,3.88,66.43,25.29,258.69
2025,1,9,11,2025-01-09 11:00:00,728.67,628.06,16.14,2.54,54.73,18.41,314.82
2025,1,9,12,2025-01-09 12:00:00,759.19,530.3,17.83,3.48,62.19,40.2,259.84
2025,1,9,13,2025-01-09 13:00:00,728.67,621.85,18.33,4.39,56.33,19.55,309.52
2025,1,9,14,2025-01-09 14:00:00,639.19,469.19,18.13,2.68,59.32,35.46,231.1
2025,1,9,15,2025-01-09 15:00:00,496.85,427.45,18.2,4.09,58.16,18.62,213.0
2025,1,9,16,2025-01-09 16:00:00,311.35,208.85,18.43,2.68,57.87,43.89,100.09
2025,1,9,17,2025-01-09 17:00:00,95.33,66.3,18.38,2.9,57.86,40.6,34.05
2025,1,9,18,2025-01-09 18:00:00,0.0,0.0,17.07,2.39,64.02,40.87,0.0
2025,1,9,19,2025-01-09 19:00:00,0.0,0.0,18.16,3.73,59.93,44.48,0.0
2025,1,9,20,2025-01-09 20:00:00,0.0,0.0,14.47,2.96,61.86,18.73,0.0
2025,1,9,21,2025-01-09 21:00:00,0.0,0.0,15.38,2.68,66.31,33.31,0.0
2025,1,9,22,2025-01-09 22:00:00,0.0,0.0,12.3,3.77,67.19,22.86,0.0
2025,1,9,23,2025-01-09 23:00:00,0.0,0.0,11.11,2.21,72.72,41.33,0.0
2025,1,10,0,2025-01-10 00:00:00,0.0,0.0,9.22,3.42,75.25,51.55,0.0
2025,1,10,1,2025-01-10 01:00:00,0.0,0.0,9.53,4.33,72.85,47.56,0.0
2025,1,10,2,2025-01-10 02:00:00,0.0,0.0,9.6,5.2,67.03,48.92,0.0
2025,1,10,3,2025-01-10 03:00:00,0.0,0.0,9.4,3.91,71.78,21.59,0.0
2025,1,10,4,2025-01-10 04:00:00,0.0,0.0,9.43,3.22,69.92,50.98,0.0
2025,1,10,5,2025-01-10 05:00:00,0.0,0.0,10.29,5.58,61.65,47.46,0.0
2025,1,10,6,2025-01-10 06:00:00,0.0,0.0,10.77,5.35,68.98,22.71,0.0
2025,1,10,7,2025-01-10 07:00:00,96.33,75.84,11.13,4.62,69.04,28.37,40.09
2025,1,10,8,2025-01-10 08:00:00,312.54,253.36,11.03,4.33,67.32,25.25,132.72
2025,1,10,9,2025-01-10 09:00:00,498.2,402.21,15.2,4.07,67.55,25.69,199.4
2025,1,10,10,2025-01-10 10:00:00,640.66,552.88,15.97,5.07,67.11,18.27,274.65
2025,1,10,11,2025-01-10 11:00:00,730.22,482.76,17.33,3.6,62.72,45.18,238.15
2025,1,10,12,2025-01-10 12:00:00,760.77,609.98,17.58,3.4,58.69,26.43,297.86
2025,1,10,13,2025-01-10 13:00:00,730.22,458.19,18.39,3.92,53.81,49.67,226.95
2025,1,10,14,2025-01-10 14:00:00,640.66,482.57,17.15,2.2,68.02,32.9,240.32
2025,1,10,15,2025-01-10 15:00:00,498.2,430.81,19.89,3.14,55.88,18.03,207.33
2025,1,10,16,2025-01-10 16:00:00,312.54,193.15,19.05,3.32,57.25,50.93,94.34
2025,1,10,17,2025-01-10 17:00:00,96.33,79.58,19.03,2.46,61.29,23.19,40.39
2025,1,10,18,2025-01-10 18:00:00,0.0,0.0,18.31,1.94,61.68,34.39,0.0
2025,1,10,19,2025-01-10 19:00:00,0.0,0.0,17.39,2.85,65.56,49.57,0.0
2025,1,10,20,2025-01-10 20:00:00,0.0,0.0,14.68,3.26,64.34,30.77,0.0
2025,1,10,21,2025-01-10 21:00:00,0.0,0.0,15.29,2.46,66.36,44.37,0.0
2025,1,10,22,2025-01-10 22:00:00,0.0,0.0,13.55,3.48,68.26,28.43,0.0
2025,1,10,23,2025-01-10 23:00:00,0.0,0.0,11.38,3.05,68.38,32.23,0.0
2025,1,11,0,2025-01-11 00:00:00,0.0,0.0,9.45,2.79,64.31,29.43,0.0
2025,1,11,1,2025-01-11 01:00:00,0.0,0.0,9.16,5.12,66.23,33.77,0.0
2025,1,11,2,2025-01-11 02:00:00,0.0,0.0,7.38,4.15,68.75,39.75,0.0
2025,1,11,3,2025-01-11 03:00:00,0.0,0.0,7.89,5.17,66.06,34.84,0.0
2025,1,11,4,2025-01-11 04:00:00,0.0,0.0,9.72,4.34,72.52,39.34,0.0
2025,1,11,5,2025-01-11 05:00:00,0.0,0.0,9.07,3.3,69.35,50.51,0.0
2025,1,11,6,2025-01-11 06:00:00,0.0,0.0,11.25,3.17,67.39,28.04,0.0
2025,1,11,7,2025-01-11 07:00:00,97.38,68.58,10.71,3.87,70.82,39.43,34.01
2025,1,11,8,2025-01-11 08:00:00,313.78,256.34,11.94,6.02,68.21,24.41,130.25
2025,1,11,9,2025-01-11 09:00:00,499.61,417.89,12.73,4.33,66.32,21.81,212.37
2025,1,11,10,2025-01-11 10:00:00,642.2,419.31,14.84,4.48,63.64,46.28,209.94
2025,1,11,11,2025-01-11 11:00:00,731.83,517.09,16.55,3.25,62.12,39.12,254.28
2025,1,11,12,2025-01-11 12:00:00,762.41,536.82,18.46,3.28,59.85,39.45,267.04
2025,1,11,13,2025-01-11 13:00:00,731.83,587.16,17.76,2.95,62.49,26.36,294.37
2025,1,11,14,2025-01-11 14:00:00,642.2,442.64,19.03,4.68,56.86,41.43,213.21
2025,1,11,15,2025-01-11 15:00:00,499.61,409.87,19.51,2.5,60.24,23.95,200.6
2025,1,11,16,2025-01-11 16:00:00,313.78,269.31,19.82,1.23,64.07,18.89,132.89
2025,1,11,17,2025-01-11 17:00:00,97.38,74.19,18.27,1.7,67.54,31.75,42.31
2025,1,11,18,2025-01-11 18:00:00,0.0,0.0,18.32,2.54,64.07,33.05,0.0
2025,1,11,19,2025-01-11 19:00:00,0.0,0.0,16.2,1.88,61.39,38.31,0.0
2025,1,11,20,2025-01-11 20:00:00,0.0,0.0,14.83,1.85,62.85,26.0,0.0
2025,1,11,21,2025-01-11 21:00:00,0.0,0.0,14.19,2.92,60.33,46.08,0.0
2025,1,11,22,2025-01-11 22:00:00,0.0,0.0,11.77,3.46,62.85,36.72,0.0
2025,1,11,23,2025-01-11 23:00:00,0.0,0.0,10.94,3.64,67.83,43.64,0.0
2025,1,12,0,2025-01-12 00:00:00,0.0,0.0,9.68,2.77,71.13,25.25,0.0
2025,1,12,1,2025-01-12 01:00:00,0.0,0.0,9.09,4.68,73.9,34.88,0.0
2025,1,12,2,2025-01-12 02:00:00,0.0,0.0,8.76,4.16,66.57,51.57,0.0
2025,1,12,3,2025-01-12 03:00:00,0.0,0.0,10.87,4.5,72.18,48.59,0.0
2025,1,12,4,2025-01-12 04:00:00,0.0,0.0,9.59,3.68,72.54,23.59,0.0
2025,1,12,5,2025-01-12 05:00:00,0.0,0.0,8.21,3.78,71.72,31.72,0.0
2025,1,12,6,2025-01-12 06:00:00,0.0,0.0,11.15,4.9,69.34,40.14,0.0
2025,1,12,7,2025-01-12 07:00:00,98.47,62.35,11.58,5.39,67.7,48.92,30.52
2025,1,12,8,2025-01-12 08:00:00,315.07,198.11,13.17,4.13,68.35,49.5,98.76
2025,1,12,9,2025-01-12 09:00:00,501.07,376.23,14.44,4.37,62.3,33.22,188.18
2025,1,12,10,2025-01-12 10:00:00,643.8,443.17,15.13,6.07,64.04,41.55,220.07
2025,1,12,11,2025-01-12 11:00:00,733.51,481.09,16.52,2.96,58.06,45.88,237.69
